747,19
50,271
506,396
157,292
210,109
495,350
185,234
956,484
636,429
875,358
921,421
159,411
416,69
365,208
226,485
487,461
803,250
127,55
37,216
319,247
489,78
229,241
282,444
509,113
197,40
446,215
648,128
302,113
268,433
185,3
61,358
901,307
646,159
601,307
57,83
516,264
692,117
897,309
624,500
336,137
578,347
336,18
564,273
857,27
806,420
414,33
838,325
375,438
719,296
556,86
925,55
686,491
726,6
8,69
620,153
506,460
400,261
222,379
664,388
419,485
417,24
191,309
536,368
618,122
857,24
101,377
923,150
457,385
947,194
301,98
244,2
487,142
329,439
875,497
913,129
289,347
409,333
585,32
583,45
465,471
770,416
687,484
431,265
387,321
871,268
940,144
260,48
554,467
858,475
211,121
26,363
207,89
625,58
350,285
88,478
866,450
677,382
47,482
910,421
830,199
670,208
833,482
207,176
529,264
207,480
275,250
464,304
409,92
519,311
156,425
87,445
711,101
46,378
511,476
412,148
695,251
811,375
273,321
18,260
734,432
572,47
997,98
806,302
474,98
630,472
966,224
335,451
197,490
528,367
893,466
36,87
362,433
948,241
758,465
145,357
806,19
982,23
952,123
561,99
424,433
522,67
297,354
692,352
256,156
769,365
453,55
435,370
75,225
356,41
255,101
838,15
613,245
679,309
693,473
357,289
733,312
943,377
984,182
532,188
756,43
468,245
665,88
148,340
317,220
103,23
165,238
424,54
966,94
509,3
762,465
397,133
949,79
161,72
415,409
440,99
364,423
669,494
783,272
395,287
13,264
585,135
446,356
905,138
670,390
786,244
553,355
469,436
102,298
44,251
738,402
654,277
829,109
600,476
306,65
54,306
895,191
142,234
437,282
957,258
433,238
987,389
553,207
866,468
722,342
724,431
70,134
434,261
147,215
201,92
134,265
566,64
455,100
819,288
886,61
977,456
635,112
629,233
451,256
391,114
535,409
725,135
86,429
871,421
626,139
220,162
224,408
322,255
9,79
186,472
582,44
161,450
608,2
258,317
261,351
802,410
815,433
604,312
910,234
882,367
430,12
741,428
739,75
739,205
160,93
88,74
583,497
568,418
899,51
640,244
554,463
812,303
190,209
643,341
386,466
743,373
242,406
0,13
707,494
288,215
857,80
153,422
64,106
179,30
330,455
641,414
990,166
651,107
930,173
951,30
759,489
48,405
595,165
985,370
412,5
451,109
256,338
985,417
98,211
917,175
271,66
779,216
678,121
939,169
373,201
132,428
160,258
924,128
21,337
548,441
291,431
680,159
881,425
308,363
11,237
258,498
198,397
409,353
469,155
183,88
92,201
950,214
82,194
709,206
220,199
317,290
323,405
300,77
183,223
959,127
318,44
639,25
805,310
222,21
143,74
476,265
195,82
754,296
839,273
839,387
995,358
288,243
817,246
394,83
160,35
716,397
279,244
264,413
454,451
392,109
416,183
397,473
414,11
114,415
133,106
95,483
559,301
626,46
799,351
295,485
606,46
336,62
810,212
768,165
550,283
722,469
949,177
823,54
984,403
171,375
543,74
913,426
716,342
29,363
99,284
999,279
838,6
72,185
428,141
172,287
825,14
40,488
473,9
941,485
310,92
26,394
10,353
8,332
246,245
606,125
920,24
53,372
643,241
446,346
72,414
632,114
499,208
413,402
160,263
116,226
420,241
113,91
473,254
8,380
225,44
369,308
275,68
390,182
106,177
224,6
611,284
702,445
287,354
439,351
335,499
959,45
798,183
406,463
328,498
694,204
952,52
699,181
502,444
613,387
608,140
464,360
463,483
477,342
691,82
409,416
849,72
715,486
824,240
299,236
451,297
598,294
56,166
206,35
647,172
710,116
399,21
884,165
74,410
751,367
793,142
607,121
266,70
387,309
829,290
86,185
982,130
787,476
613,449
920,355
514,83
519,198
355,268
710,424
576,371
712,218
861,21
781,341
710,355
420,221
410,399
57,467
86,334
618,228
331,465
443,244
801,401
185,79
898,310
676,378
579,291
789,429
685,83
335,440
410,289
106,28
59,113
194,249
118,65
246,391
565,442
916,255
290,424
755,316
198,421
968,21
993,29
58,357
667,132
865,71
129,21
672,88
108,147
427,436
603,334
108,73
640,444
840,30
976,402
918,193
852,439
264,500
669,359
122,34
68,212
951,441
367,194
930,471
824,250
658,195
304,238
343,270
0,207
625,184
312,343
945,37
432,491
367,105
779,110
369,148
988,484
237,134
969,265
645,471
988,360
122,319
417,328
708,302
313,188
197,6
412,257
901,134
262,181
984,444
616,425
460,159
103,462
991,31
90,454
533,197
916,435
622,258
378,142
910,17
519,441
615,450
354,106
577,183
721,17
761,197
879,77
615,278
609,208
433,147
222,244
389,389
204,89
228,179
439,73
306,198
69,84
914,388
85,470
287,299
422,255
93,321
924,390
709,327
677,25
191,243
281,76
554,267
736,220
959,331
805,152
204,151
760,420
748,271
146,363
675,212
209,447
495,115
316,435
59,381
120,293
693,498
456,177
335,375
947,75
755,208
943,213
471,431
164,369
464,383
284,99
162,404
86,186
221,500
633,81
660,423
398,36
575,344
414,441
401,137
58,98
972,18
994,325
679,253
541,28
817,309
879,474
384,196
673,51
314,155
121,460
173,291
538,455
322,386
455,50
203,317
265,2
269,176
928,59
273,310
222,435
125,252
631,498
760,385
477,290
210,313
760,435
9,83
978,488
680,308
8,280
834,134
548,93
732,474
823,161
385,354
253,48
271,52
97,333
630,409
103,407
241,81
416,251
757,460
736,13
550,128
491,129
801,102
438,313
508,285
811,172
434,486
204,50
227,370
968,483
55,321
275,390
627,139
775,420
524,498
457,217
465,96
175,387
349,143
349,172
201,252
86,111
856,468
120,53
780,65
144,357
183,412
92,143
668,192
400,345
155,245
64,236
19,224
973,158
49,343
323,312
487,355
726,428
433,137
60,285
0,226
310,255
393,456
808,3
424,439
464,483
477,373
763,490
657,163
315,323
474,440
533,108
554,147
246,484
334,152
182,74
738,60
356,349
434,32
185,456
59,341
721,237
959,290
188,335
464,429
412,90
900,139
606,101
342,303
338,218
477,231
176,264
462,344
552,234
669,152
268,116
449,13
690,5
453,347
296,340
546,59
892,199
386,312
756,361
959,220
407,219
186,17
79,280
296,9
150,159
983,471
845,22
622,211
588,173
754,194
715,395
429,260
487,101
944,479
273,294
969,497
208,139
680,249
254,121
36,307
256,103
723,375
671,50
110,208
964,13
194,94
537,102
795,108
898,257
379,424
586,318
489,431
841,413
948,109
43,7
502,447
388,312
542,254
928,229
725,475
551,490
290,278
853,488
482,332
488,54
455,235
682,191
281,5
887,126
962,115
528,158
850,120
878,379
459,385
546,469
711,301
96,424
238,359
692,185
468,288
213,381
607,443
39,356
774,223
429,30
924,93
322,462
348,206
480,351
