106,648|403,481
747,826|369,456
758,122|365,637
503,576|808,710
325,374|402,513
981,913|341,183
478,216|325,606
621,458|396,767
941,656|34,414
620,796|233,935
749,957|934,629
397,816|36,917
964,485|682,354
819,435|821,162
116,120|416,270
506,272|511,543
46,121|988,971
179,378|752,830
422,46|387,29
494,705|623,742
172,813|391,260
151,89|133,7
287,39|296,520
899,897|540,705
441,127|980,283
946,903|810,433
312,201|671,802
884,630|958,116
632,589|595,260
518,9|850,978
907,387|201,184
220,631|391,603
891,421|502,723
310,719|891,773
132,802|911,991
884,555|710,787
133,935|924,669
212,30|479,191
645,686|168,740
721,768|147,104
119,192|710,198
363,398|463,204
904,76|189,905
459,260|832,679
581,624|117,468
13,437|538,818
424,868|912,733
797,646|941,524
594,316|97,377
180,872|769,956
583,44|519,516
363,437|595,772
839,675|738,236
404,176|205,246
264,218|45,249
894,999|825,972
815,700|642,480
775,194|822,319
518,94|688,811
129,859|625,382
148,445|704,849
727,445|293,57
946,436|251,28
198,294|43,962
170,509|341,54
375,927|674,202
824,405|349,898
121,992|696,554
347,250|26,497
625,870|222,198
10,830|911,993
803,775|303,451
592,131|751,151
615,810|904,570
418,766|985,118
895,930|106,314
949,437|428,582
373,233|939,609
171,851|700,661
319,94|800,603
892,433|243,64
285,761|262,1
671,772|416,315
55,524|339,523
552,107|363,876
152,729|681,767
777,0|974,420
887,696|299,102
379,188|349,701
571,383|870,437
427,644|942,244
580,482|673,697
463,744|121,688
311,770|972,730
496,256|961,705
232,496|444,16
560,767|761,1
398,633|69,337
755,610|264,718
116,24|462,776
